Student_ID,10th_Percentage,12th_Percentage,Undergraduate_GPA,Number_of_Backlogs,Certifications_Completed,Internship_Experience_Months,Technical_Skills_Count,Projects_Completed,Soft_Skills_Rating,Aptitude_Test_Score,Mock_Interview_Score,Hackathon_Participation,Volunteering_Experience,Extracurricular_Rating,Age,Gender,Location,Placement_Training_Participation,Interview_Call_Rates,Preferred_Role,Previous_Internship_Offers,Desired_Salary_Range,Placement_Offer,Postgraduate_Studies,Specialization_Field,Semester_Trend,Coding_Competitions_Participation,Tech_Stack_Expertise,GitHub_Activity,Leadership_Skills_Rating,Emotional_Intelligence_Score,Time_Management_Skills,Resume_Quality_Score,Alumni_Network_Engagement,Languages_Known,Disability_Status,Fathers_Occupation
STU00018,84.39,60.92,6.93,7,9,4,6,6,1.87,92.09,46.74,2,4,1.46,24,Female,Rural,1,5,Analyst,4,5.64,1,No,IT,Consistent,2,4,64.27,2.81,4.92,3.97,1.28,40.86,4,Mobility,Police Officer
STU00019,91.74,58.25,9.97,9,10,13,1,15,2.23,55.69,17.19,4,2,3.88,25,Other,Urban,0,4,Developer,3,6.04,0,No,IT,Consistent,1,8,3.7,3.73,3.47,1.48,2.21,66.9,1,None,Technician
STU00020,64.03,83.73,8.89,0,1,21,2,15,4.64,30.86,35.15,4,2,1.58,21,Other,Urban,1,5,Data Scientist,4,11.82,0,Yes,IT,Improving,0,9,56.37,1.77,4.84,3.7,4.86,51.3,1,Visual,Mechanic
STU00021,50.49,75.86,6.46,2,9,12,6,14,2.87,47.58,66.14,1,2,4.87,20,Other,Urban,1,1,Tester,3,4.44,1,Yes,IT,Declining,0,1,59.18,4.72,4.46,3.18,1.69,62.22,5,Hearing,Accountant
STU00022,55.14,90.5,5.78,6,8,5,5,3,4.94,22.15,18.98,2,2,1.85,25,Female,Rural,1,0,Tester,5,10.17,0,No,EEE,Consistent,1,2,83.37,4.95,2.92,2.31,1.43,60.92,5,Mobility,Farmer
STU00023,85.38,84.2,5.12,8,7,11,4,17,4.87,52.15,72.9,1,2,2.27,20,Female,Urban,0,2,Analyst,2,4.57,0,No,IT,Improving,4,7,81.86,4.59,1.71,1.49,1.78,35.52,2,Hearing,Accountant
STU00024,73.07,76.86,5.89,6,6,0,5,2,4.91,58.59,65.65,0,3,4.84,25,Male,Rural,0,6,Tester,3,7.94,1,No,CIVIL,Improving,5,10,35.5,1.04,1.02,2.69,2.6,13.73,3,Mobility,Clerk
STU00025,74.03,87.16,5.91,7,3,10,1,9,4.56,78.34,98.05,1,0,1.7,24,Other,Urban,1,0,Tester,4,6.21,1,Yes,CIVIL,Consistent,2,9,19.36,3.08,3.47,2.88,4.03,80.65,5,Visual,Driver
STU00026,54.5,79.35,7.85,0,6,19,7,6,2.58,11.29,58.46,4,5,2.54,22,Other,Urban,0,5,Tester,0,4.42,0,Yes,CSE,Declining,2,2,58.76,4.95,4.35,3.73,4.15,15.87,3,Visual,Accountant
STU00027,69.42,65.4,7.53,0,4,22,5,5,2.25,50.93,73.05,3,4,4.33,21,Other,Urban,1,9,Developer,2,11.89,0,Yes,CIVIL,Declining,2,1,48.02,2.94,4.69,1.72,1.4,70.27,4,Visual,Doctor
STU00028,79.65,83.41,8.95,5,6,1,7,4,2.44,99.49,23.65,4,3,4.83,23,Other,Urban,0,7,Analyst,2,7.88,0,Yes,MECH,Consistent,0,7,18.84,4.58,1.6,2.99,1.97,69.31,4,Hearing,Technician
STU00029,88.2,98.49,7.42,3,6,20,5,11,3.36,17.33,53.58,2,5,4.36,18,Other,Rural,1,4,Tester,0,10.59,0,Yes,EEE,Declining,5,10,97.27,2.13,4.41,4.68,3.14,52.06,1,None,Engineer
STU00030,79.38,68.39,8.43,0,4,13,3,12,1.07,80.08,8.21,3,5,4.84,18,Male,Urban,1,5,Developer,5,4.71,1,No,IT,Improving,2,8,32.41,2.05,3.12,3.99,1.93,12.15,2,Mobility,Doctor
STU00031,75.09,95.14,5.21,1,9,22,10,12,1.67,95.48,86.44,3,4,2.27,24,Other,Rural,1,7,Tester,1,3.67,0,Yes,EEE,Consistent,1,3,17.34,2.74,2.16,2.46,3.95,88.97,3,None,Accountant
STU00032,55.86,63.09,6.47,6,4,10,6,10,2.38,37.4,61.78,1,5,2.3,20,Other,Rural,0,5,Tester,4,6.4,1,Yes,ECE,Improving,2,4,46.01,2.89,2.83,1.92,2.08,61.96,5,Visual,Shopkeeper
STU00033,87.82,64.43,7.88,3,5,0,4,7,1.6,22.46,87.55,0,4,2.23,25,Female,Rural,1,1,Developer,3,12.18,1,Yes,ECE,Consistent,2,4,56.93,1.19,1.92,4.95,1.03,67.43,2,Visual,Technician
STU00034,74.58,68.76,9.94,7,10,8,7,20,4.76,57.63,78.49,5,4,4.61,19,Female,Rural,0,7,Analyst,3,12.31,0,No,MECH,Declining,5,2,51.77,3.76,1.1,2.04,2.99,28.26,5,Hearing,Businessman
STU00035,61.4,84.38,6.46,0,7,21,4,18,3.5,49.96,52.11,4,3,2.01,24,Male,Rural,1,10,Analyst,3,5.88,0,Yes,CSE,Consistent,1,3,76.2,3.56,1.96,4.67,2.69,29.04,3,None,Businessman
STU00036,74.07,79.25,8.62,9,4,11,4,19,2.04,80.19,27.47,2,4,1.8,20,Female,Rural,1,9,Analyst,4,12.07,1,No,ECE,Improving,3,1,75.49,1.36,2.71,3.33,4.02,11.52,2,Visual,Businessman
STU00037,85.27,81.51,9.57,2,5,2,3,13,4.78,51.93,20.33,3,2,2.16,23,Male,Urban,0,10,Data Scientist,0,3.49,0,No,IT,Declining,3,1,10.43,1.9,4.53,1.76,1.7,60.51,4,Hearing,Accountant
STU00038,98.82,50.3,5.13,8,2,15,4,10,1.93,52.06,92.43,0,2,1.13,22,Male,Rural,0,8,Analyst,3,7.13,1,No,IT,Declining,2,3,22.38,3.82,1.04,1.1,4.54,64.95,5,Hearing,Farmer
STU00039,91.75,59.77,7.43,2,1,1,7,17,2.73,38.55,82.18,5,0,4.52,24,Other,Rural,0,10,Analyst,4,4.1,0,No,IT,Declining,2,4,76.23,3.1,4.52,1.6,1.91,70.93,4,None,Shopkeeper
STU00040,89.34,62.21,5.21,8,10,11,10,1,3.25,72.62,75.77,4,4,1.15,20,Female,Urban,0,9,Analyst,2,13.86,1,No,IT,Improving,4,8,37,1.76,2.75,3.38,2.59,12.63,1,Hearing,Driver
STU00041,81.08,71.05,8.93,6,3,13,2,1,3.46,95.18,94.09,0,5,3.79,24,Female,Urban,1,10,Tester,4,6.52,0,Yes,IT,Consistent,2,6,60.24,1.88,4.25,1.09,1.05,75.22,5,None,Lawyer
STU00042,55.81,68.39,8.9,6,7,2,4,20,4.36,99.66,25.48,3,3,3.24,24,Male,Urban,0,8,Data Scientist,5,13.26,0,No,MECH,Consistent,5,5,98.14,2.27,3.32,3.9,3.39,11.48,1,None,Technician
STU00043,51.7,54.61,9.13,10,6,22,10,13,3.09,7.91,62.11,0,5,1.06,25,Other,Rural,1,4,Analyst,5,13.44,0,No,IT,Consistent,0,1,81.6,1.77,2.89,3.97,3.81,94.23,1,None,Clerk
STU00044,50.79,68.75,5.56,8,10,0,2,16,3.5,74.06,20.39,1,3,4.96,21,Other,Rural,1,2,Tester,5,11.31,0,Yes,CSE,Improving,2,7,62.12,1.69,1.43,3.63,4.83,50.75,4,Mobility,Clerk
STU00045,97.25,83.92,7.82,8,0,21,3,9,2.34,66.45,15.64,1,5,2.67,21,Other,Urban,1,5,Analyst,2,12.5,0,No,ECE,Declining,1,3,5.14,4.7,1.09,3.04,2.23,56.43,3,Hearing,Technician
STU00046,62.72,90.98,9.7,10,1,2,8,7,4.83,33.38,43.86,2,4,4.35,24,Male,Rural,1,7,Data Scientist,0,11.44,1,No,EEE,Improving,1,10,94.34,3.1,2.19,1.46,1.12,22.29,3,Hearing,Police Officer
STU00047,69.94,83.2,9.83,8,0,9,7,9,3.77,34.43,87.34,3,5,2.35,21,Female,Rural,1,4,Tester,5,3.88,0,No,IT,Declining,0,10,73.97,4.5,4.14,3.11,4.18,29.81,2,Visual,Accountant
STU00048,79.64,53.85,7.9,0,3,1,1,1,2.98,12.28,41.25,1,4,3.41,24,Other,Urban,1,5,Data Scientist,1,4.15,0,Yes,CIVIL,Improving,5,4,40.91,2.2,2.47,2.66,4.33,19.73,4,Mobility,Government Employee
STU00049,98.31,86,8.68,4,5,10,5,18,3.52,35.74,28.49,4,5,3.18,21,Other,Rural,0,2,Developer,4,8.44,0,Yes,MECH,Consistent,4,7,45.81,2.58,4.8,4.78,3.78,91.68,4,Mobility,Technician
STU00050,87.63,84.17,5.33,8,10,6,4,18,3.49,79.54,15.7,2,3,4.37,22,Female,Urban,1,8,Tester,2,7.59,0,No,EEE,Improving,1,4,75.3,4.83,1.78,3.44,3.21,30.54,1,Hearing,Police Officer
STU00051,97.29,84.9,8.69,9,1,15,2,11,3.15,56.27,1.38,2,5,4.68,23,Other,Rural,0,8,Analyst,4,12.84,1,No,MECH,Declining,1,9,34.45,4.25,2.78,1.52,4.13,87.45,4,Hearing,Police Officer
STU00052,92.75,66.44,5.79,7,6,13,3,14,4.35,65.93,19.11,5,1,3.53,20,Male,Rural,0,9,Data Scientist,1,6.72,1,No,EEE,Consistent,3,9,73.53,4.73,1.22,4.28,3.45,75.27,2,Hearing,Accountant
STU00053,70.97,82.58,5.76,1,7,2,4,7,3.17,82.63,56.96,3,4,1.31,20,Female,Rural,0,3,Analyst,5,3.36,0,Yes,CIVIL,Declining,3,4,66.4,2.73,1.53,1.93,3.84,67.96,1,Visual,Mechanic
STU00054,82.89,50.72,8.57,2,5,18,8,2,1.6,49.44,91.98,5,2,3.17,22,Male,Rural,1,5,Data Scientist,2,4.81,1,No,EEE,Improving,1,2,33.13,2.17,2.79,4.39,1.38,22.07,1,Mobility,Technician
STU00055,65.03,54.29,5.29,10,4,24,3,13,3.55,39.67,22.12,4,4,2.97,21,Other,Urban,0,7,Developer,0,12.12,1,Yes,ECE,Declining,5,4,94,1.13,4.36,2.93,2.59,90.51,3,Hearing,Driver
STU00056,57.97,85.7,8.94,4,0,15,1,5,4.39,62.97,94.57,5,1,1.25,21,Other,Rural,0,7,Analyst,0,8.54,1,No,ECE,Declining,5,9,0.13,3.04,4.2,4.29,3.23,24.86,2,Hearing,Doctor
STU00057,59.23,58.75,6.97,4,4,16,9,5,4,40.31,57.09,1,5,2.84,24,Male,Rural,0,7,Data Scientist,3,10.27,1,Yes,IT,Improving,2,2,68.66,2.6,3.15,3.53,2.67,36.64,4,None,Accountant
STU00058,97.35,63.45,5.64,0,8,22,9,9,1.03,17.28,37.85,0,4,4.46,22,Male,Urban,0,3,Data Scientist,0,5.06,1,No,CSE,Declining,3,9,77.88,1.96,2.14,3.9,4.23,0.68,5,None,Army Personnel
STU00059,81.44,58,8.58,8,8,3,5,11,1.26,65.26,48.31,0,2,4,18,Other,Urban,0,3,Data Scientist,3,12.8,0,Yes,EEE,Improving,0,10,55.89,3.12,2.81,3.52,2.81,19.35,1,None,Lawyer
STU00060,97.37,68.66,5.1,3,8,12,9,16,3.52,6.67,45.66,5,1,3.49,25,Female,Rural,1,8,Data Scientist,3,5.68,0,No,EEE,Declining,5,6,13.37,4.3,1.12,4.76,4.68,18.75,5,Hearing,Shopkeeper
STU00061,59.59,85.95,5.01,3,1,16,3,5,4.76,7.26,29.56,4,0,2.58,20,Other,Rural,0,8,Data Scientist,5,3.45,0,No,ECE,Declining,1,10,5.18,2.18,2.74,3.34,2.86,91.72,1,None,Mechanic
STU00062,52.88,57.53,8.19,9,6,20,9,20,1.54,37.52,43.24,5,1,2.53,24,Female,Rural,0,2,Developer,1,14.97,0,No,IT,Consistent,5,4,98.78,2.39,3.71,2.02,2.17,46.78,4,None,Shopkeeper
STU00063,81.25,64.54,9.07,6,5,3,8,17,3.65,59.92,82.19,2,4,2.41,18,Other,Urban,0,3,Data Scientist,2,4.15,1,Yes,MECH,Improving,0,2,97.17,1.95,4.69,4.31,1.94,70.96,1,Mobility,Farmer
STU00064,65.47,85.33,6.36,5,0,4,4,10,4.06,0.02,69.24,3,1,1.39,24,Female,Urban,1,5,Data Scientist,5,5.42,0,No,CSE,Improving,2,2,16.54,1.58,2.78,4.54,4.29,53.92,1,Mobility,Engineer
STU00065,51.45,66.96,5.84,2,0,17,1,13,3.89,58.2,88.14,2,3,3.09,22,Female,Urban,0,9,Analyst,5,8.88,0,Yes,CIVIL,Declining,0,4,6.96,1.67,2.7,3.88,3.86,28.44,3,None,Mechanic
STU00066,91.95,52.93,6.21,3,2,1,3,20,2.15,47.82,42.1,5,5,2.31,21,Male,Urban,0,3,Developer,4,4.01,1,No,ECE,Consistent,5,2,35.27,4.98,2.08,4.39,1.05,62.09,5,None,Farmer
STU00067,94.46,56.63,9.6,0,4,11,5,2,1.1,11.68,43.51,0,1,1.2,21,Other,Rural,1,0,Data Scientist,2,8.84,0,Yes,MECH,Improving,5,5,58.05,1.96,4.91,1.63,1.69,62.13,1,Mobility,Technician
STU00068,92.47,72.9,8.76,8,4,15,10,18,4.61,39.55,37.75,0,0,3.23,21,Male,Urban,0,9,Developer,3,14.28,1,No,CIVIL,Improving,3,3,77.46,2.54,4.09,2.7,3.89,96.97,4,Mobility,Army Personnel
STU00069,92.83,58.61,5.62,6,2,9,9,1,2.19,61.64,5.75,1,4,4.77,19,Other,Urban,1,1,Data Scientist,0,12.79,1,Yes,IT,Declining,2,7,94.11,2.15,4.08,2.94,1.63,92.33,1,Hearing,Businessman
STU00070,52.04,62.61,8.05,9,3,10,2,4,3.37,23.99,25.94,3,2,1.39,21,Other,Urban,0,6,Data Scientist,5,7.95,1,Yes,EEE,Declining,0,3,44.41,4.93,4.22,2.68,3.32,13.89,2,None,Farmer
STU00071,96.29,92.18,9.81,6,9,19,3,9,2.48,57.64,77.93,1,4,4.3,24,Other,Urban,1,0,Analyst,2,10.99,0,No,CSE,Improving,2,10,44.75,1.42,1.65,1.88,3.04,43.79,2,Visual,Shopkeeper
STU00072,92.05,92.32,6.36,8,0,8,2,15,1.88,45.55,97.06,0,5,4.23,22,Male,Rural,0,8,Data Scientist,5,13.28,1,Yes,CSE,Declining,2,3,36.06,1.03,3.4,2.25,2.34,17.04,2,Hearing,Businessman
STU00073,88.38,90.76,5.85,6,1,13,5,6,2.32,70.77,99.03,3,2,2.21,24,Other,Rural,1,8,Data Scientist,2,14.51,1,No,IT,Declining,5,7,19.08,1.56,2.34,1.01,3.23,47.93,5,Hearing,Doctor
STU00074,88.84,52.27,7.54,6,1,4,1,15,1.67,48.08,49.64,4,5,2.96,24,Other,Rural,0,8,Tester,4,7.54,0,No,EEE,Improving,1,3,3.47,3.74,1.55,4.24,2,45.95,2,Mobility,Government Employee
STU00075,94.81,57.89,8.8,2,0,1,6,16,2.66,71.26,57,2,4,2.42,19,Male,Urban,0,4,Analyst,0,13.04,0,No,MECH,Declining,1,2,15.54,2.96,3.66,4.12,2.04,66.98,3,None,Police Officer
STU00076,56.17,71.51,6.84,8,9,15,5,2,4.17,62.18,0.47,3,0,1.49,22,Female,Urban,1,1,Data Scientist,1,10.27,0,No,MECH,Improving,3,5,20.54,3.13,1.77,1.29,4.12,45.68,3,Mobility,Clerk
STU00077,82.78,58.18,5.02,2,10,16,4,18,1.77,79.33,97.33,4,0,2.93,22,Female,Urban,0,8,Developer,2,10.2,0,Yes,CIVIL,Improving,5,10,97.23,1.43,2.99,3.92,3.81,4.18,1,Visual,Mechanic
STU00078,81.06,99.35,9.28,7,2,10,3,20,4.81,6.31,21.85,3,1,4.59,20,Female,Rural,0,2,Data Scientist,0,7.25,0,No,IT,Declining,4,10,70.55,2.01,2.1,1.79,4.25,14.48,3,None,Accountant
STU00079,60.76,51.46,7.24,4,10,5,3,13,3.6,86.67,66.76,5,2,2.06,19,Male,Rural,0,9,Data Scientist,1,3.79,1,Yes,ECE,Consistent,1,7,41.16,1.67,4,4.93,4.67,76.41,4,Mobility,Government Employee
STU00080,95.55,73.17,9.31,6,8,4,5,10,2.64,0.88,13.79,1,2,2.27,20,Female,Rural,0,9,Developer,2,11.42,0,No,CIVIL,Improving,4,9,90.97,1.82,2.37,3.95,4.21,73.91,5,Mobility,Lawyer
STU00081,58.05,83.07,7.98,0,3,15,4,3,4.34,55.83,93.4,5,5,1.87,22,Other,Rural,0,10,Tester,0,13.07,0,No,CIVIL,Declining,4,4,12.72,1.56,3.5,4,1.61,87.6,4,None,Farmer
STU00082,84.45,83.38,8.88,6,0,14,5,20,4.23,51.26,23.19,3,3,4.09,25,Female,Urban,1,7,Developer,0,8.27,1,No,IT,Consistent,1,7,0.24,4.34,3.75,3.66,2.15,57.47,3,None,Clerk
STU00083,77.53,99.42,9.02,1,1,7,10,16,2.9,83.33,1.63,1,4,1.31,20,Female,Urban,0,5,Analyst,3,10.57,1,No,ECE,Consistent,4,4,65.75,4.72,2.81,4.35,1.38,22.61,1,Hearing,Driver
STU00084,52.61,76.2,8.32,0,10,3,6,17,4.95,75.46,94.08,2,2,3.21,18,Other,Urban,1,2,Analyst,5,13.12,0,Yes,CIVIL,Consistent,2,3,42.31,1.39,4.21,3.63,1.64,43.38,3,Hearing,Engineer
STU00085,55.71,95.37,5.82,1,5,20,7,4,4.89,50.01,68.48,1,3,3.12,18,Other,Rural,1,7,Analyst,5,13.42,1,Yes,MECH,Declining,1,7,18.91,1.3,2.55,1.33,4.16,72.28,5,None,Engineer
STU00086,59.82,76.83,9.26,7,1,23,2,12,2.63,99.59,85.8,1,5,1.13,21,Male,Urban,0,2,Tester,5,10.1,0,Yes,CIVIL,Declining,0,8,82.53,4.63,2.9,2.25,4.07,65.59,1,Hearing,Teacher
STU00087,89.74,64.63,5.5,6,7,15,4,20,1.12,80.51,78.23,5,3,2.09,19,Female,Rural,1,10,Data Scientist,3,11.9,0,Yes,CIVIL,Consistent,2,2,41.54,1.74,1.39,3.01,4.42,64.09,2,Visual,Teacher
STU00088,70.28,97.21,8.98,9,6,20,2,12,4.88,49.29,30.21,4,2,1.44,23,Female,Urban,0,3,Analyst,0,3.29,0,No,ECE,Improving,3,3,15.83,2.29,4.98,1.55,4.12,41.43,4,None,Engineer
STU00089,91.37,83.98,9.29,0,4,5,7,19,1.87,13.97,65.77,3,2,4.22,22,Male,Urban,1,4,Developer,2,7.75,0,No,MECH,Improving,5,3,96.1,1.49,2.07,4.41,1.64,1.45,2,None,Farmer
STU00090,79.59,79.15,7.52,10,7,21,1,15,2.8,58.77,70.85,1,1,1.42,23,Female,Urban,1,10,Tester,2,9.72,1,Yes,CIVIL,Improving,2,1,1.33,4.65,1.28,3.87,1.81,31.66,5,Visual,Government Employee
STU00091,91.66,81.29,5.99,5,4,9,10,20,2.24,1.28,55.46,1,2,2.5,22,Male,Urban,1,6,Developer,3,12.92,1,No,CSE,Consistent,5,1,15.69,1.62,2.63,4.93,2.36,41.86,4,None,Farmer
STU00092,72.61,56.5,9.43,4,7,10,7,19,4.39,35.47,40.34,0,1,1.55,18,Female,Urban,1,2,Data Scientist,0,10.53,1,No,EEE,Improving,2,6,4.57,2.74,1.6,4.32,3.14,74.26,2,None,Accountant
STU00093,55.04,77.78,7.09,1,2,11,1,15,3.8,15.96,97.37,3,5,4.8,21,Female,Urban,0,7,Analyst,2,7.35,0,No,ECE,Declining,1,6,48.32,4.74,1.89,3.07,4.45,53.77,4,None,Driver
STU00094,77.94,60.09,6.98,3,4,17,6,18,4.52,0.69,30.16,3,0,1.86,24,Male,Rural,1,3,Analyst,4,6.17,0,No,CSE,Declining,2,4,11.7,2.01,2.75,3.46,2.99,60.57,1,Hearing,Engineer
STU00095,90,56.1,9.31,3,10,8,4,1,1.2,80.03,55.31,0,4,4.26,19,Male,Urban,1,3,Analyst,3,5.63,1,Yes,CSE,Declining,5,1,3.03,2.58,3.2,4.52,2.15,35.53,1,Mobility,Clerk
STU00096,64.28,80.31,7.31,9,0,22,4,4,3.07,61.38,49.78,3,3,3.98,19,Female,Rural,1,1,Analyst,2,8.21,1,No,EEE,Improving,2,10,7.03,1.51,1.4,1.56,2.95,33.19,1,Visual,Teacher
STU00097,66.27,99.29,5.66,4,6,5,8,4,1.14,93.43,59.03,3,2,1.33,23,Other,Rural,0,5,Data Scientist,3,12.68,1,Yes,ECE,Consistent,2,7,28.69,2.94,2.5,1.46,2.22,56.43,2,Hearing,Police Officer
STU00098,79.93,68.86,8.45,6,0,23,7,7,4.35,72.29,27.37,1,1,2.26,25,Female,Rural,0,10,Data Scientist,3,11.06,1,Yes,ECE,Consistent,3,5,44.08,2.54,3.44,4.94,4.32,97.67,2,Visual,Government Employee
STU00099,79.29,63.68,8.27,7,10,5,9,17,3.76,62.86,58.44,4,3,4.08,20,Female,Urban,1,4,Tester,4,10.39,0,No,EEE,Improving,2,9,19.36,2.66,2.89,4.61,4.72,64.28,2,Hearing,Technician
STU00100,94.55,72.6,9.66,2,3,18,5,8,4.71,90.49,70.92,0,1,2.91,19,Other,Urban,1,0,Analyst,0,6.6,0,Yes,CIVIL,Improving,4,2,4.85,3.24,3.84,1.33,4.68,61.41,2,Mobility,Businessman
STU00101,58.03,80.23,9.68,10,0,9,7,8,4.67,1.65,11.51,1,0,4.81,20,Female,Urban,0,6,Data Scientist,3,10.57,1,No,IT,Improving,0,4,93.15,2.68,1.62,2.95,4.17,10.77,4,None,Army Personnel
STU00102,63.6,76.21,9.68,8,5,12,2,20,2.76,73.98,58.13,3,5,1.49,23,Other,Rural,0,7,Data Scientist,3,12.94,1,Yes,CIVIL,Declining,5,5,86.06,3.3,3.15,4.08,1.06,98.35,5,Hearing,Businessman
STU00103,53.09,50.84,5.93,4,6,21,10,7,3.98,81.01,67.72,5,2,3.51,20,Other,Urban,1,0,Tester,5,7.71,0,Yes,CIVIL,Consistent,3,4,47.88,3.23,4.9,2.03,1.78,14.36,4,Hearing,Shopkeeper
STU00104,82.48,77.51,9.69,4,10,0,8,2,4.32,64.14,50.96,3,2,4.58,21,Male,Urban,0,7,Tester,3,6.18,1,No,CSE,Consistent,2,3,19.65,4.94,4.13,2.76,3.77,37.93,3,Hearing,Police Officer
STU00105,69.31,79.66,7.17,1,1,0,2,19,1.24,49.63,62.1,5,2,3.62,20,Female,Urban,0,6,Tester,1,7.06,0,No,CIVIL,Declining,4,10,44.3,4.13,4.81,1.11,2.27,50.3,2,Visual,Businessman
STU00106,67.13,87.51,7.81,0,1,23,2,18,3.25,40.11,57.82,0,1,2.66,21,Male,Urban,1,10,Developer,0,3.85,1,Yes,ECE,Improving,5,1,3.72,4.34,3.03,1.24,2.83,3.17,3,Hearing,Mechanic
STU00107,68.55,85.77,7.9,6,8,21,9,10,3.19,41.04,46.92,1,4,4.98,25,Female,Urban,1,3,Tester,4,8.55,0,Yes,ECE,Consistent,5,10,79.56,4.1,2.19,4.95,4.4,88.79,5,None,Accountant
